ClientUsername,ClientIPAddress,ClientMACAddress,AssociationTime,APName,APMACAddress,SessionDuration,AvgSessionThroughputKbps,BytesSent,BytesReceived,DisassociationTime,TotalTime,Clusters
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 15:54:52 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Wed Nov 29 15:59:53 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 15:49:52 BRST 2017,P01-A01-AP1-PC,18:9c:5d:44:77:c0,5 min 0 sec,2.2,23370,57934,Wed Nov 29 15:54:52 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 15:14:48 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,25 min 2 sec,0,0,0,Wed Nov 29 15:39:50 BRST 2017,1502.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 14:59:46 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 0 sec,0,0,0,Wed Nov 29 15:09:47 BRST 2017,601.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 14:49:45 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,1.9,19582,40971,Wed Nov 29 14:54:45 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 13:59:38 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,50 min 6 sec,0.7,44727,200799,Wed Nov 29 14:49:45 BRST 2017,3007.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 13:54:37 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Wed Nov 29 13:59:38 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 13:49:36 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,270.4,144953,10016567,Wed Nov 29 13:54:37 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 12:29:27 BRST 2017,P01-ANEXO-A01-VI,78:da:6e:eb:ab:20,5 min 0 sec,0,0,0,Wed Nov 29 12:34:27 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 12:24:26 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,0.5,7906,9971,Wed Nov 29 12:29:27 BRST 2017,301.0,0
