Grupo;Silhueta;DuracaodaSessao;Velocidademediadenavegacao
C7;0.746717;300.0;0.0
C11;0.68654;2102.0;0.0
C11;0.686337;2103.0;2.4
C5;0.744256;601.0;1.7
C5;0.744496;601.0;0.0
C1;0.657802;1202.0;1.3
C13;0.735442;902.0;0.8
C10;0.64613;2706.0;0.0
C7;0.746717;300.0;0.0
C7;0.746368;301.0;0.8
C5;0.744496;601.0;0.0
C7;0.746707;300.0;0.1
C12;0.697235;4208.0;5.0
C13;0.735144;902.0;2.6
C7;0.746717;300.0;0.0
C13;0.735123;903.0;0.0
C7;0.734767;300.0;13.6
C11;0.68485;2106.0;0.9
C7;0.746717;300.0;0.0
C7;0.746694;300.0;0.2
C7;0.746717;300.0;0.0
C7;0.746717;300.0;0.0
C1;0.671191;1501.0;13.5
C1;0.657021;1201.0;0.3
C7;0.746417;300.0;1.0
C11;0.686249;2103.0;0.0
C6;0.638572;4811.0;17.8
C13;0.735374;901.0;0.0
C7;0.746432;301.0;0.5
C5;0.744486;601.0;0.5
C5;0.744055;602.0;2.1
C5;0.744496;601.0;0.0
C5;0.744404;601.0;1.1
C12;0.685949;3906.0;2.4
C5;0.744257;602.0;1.1
C7;0.746217;300.0;1.4
C7;0.746418;301.0;0.0
C7;0.746694;300.0;0.2
C11;0.673104;1805.0;0.7
C13;0.735382;902.0;0.0
C1;0.649513;1202.0;24.1
C7;0.746717;300.0;0.0
C5;0.7445;601.0;0.3
C7;0.746417;300.0;1.0
C7;0.746717;300.0;0.0
C11;0.671208;1801.0;1.2
C13;0.735374;901.0;0.0
C10;0.688191;2403.0;0.6
C5;0.74205;601.0;7.8
C7;0.746717;300.0;0.0
C7;0.746717;300.0;0.0
C5;0.744209;600.0;0.0
C13;0.73519;902.0;2.4
C5;0.743447;601.0;4.1
C12;0.686624;3910.0;0.6
C11;0.672651;1804.0;0.0
C5;0.681072;601.0;116.9
C7;0.746717;300.0;0.0
C12;0.5195;3606.0;2.2
C5;0.744496;601.0;0.0
C7;0.744041;301.0;4.3
C7;0.744165;300.0;4.2
C7;0.746418;301.0;0.0
C7;0.744615;301.0;3.6
C2;0.706895;3007.0;5.6
C7;0.746717;300.0;0.0
C5;0.744496;601.0;0.0
C1;0.670952;1504.0;0.0
C1;0.671515;1503.0;0.0
C3;0.5;301.0;620.5
C5;0.744496;601.0;0.0
C7;0.74607;301.0;1.5
C7;0.746717;300.0;0.0
C7;0.746418;301.0;0.0
C7;0.746717;300.0;0.0
C7;0.745923;300.0;1.9
C10;0.688522;2404.0;0.0
C2;0.707345;3008.0;0.0
C7;0.746717;300.0;0.0
C1;0.657921;1202.0;0.0
C7;0.746418;301.0;0.0
C7;0.704152;301.0;34.3
C5;0.744496;601.0;0.0
C1;0.657921;1202.0;0.0
C6;0.720164;5110.0;15.6
C1;0.671977;1502.0;0.1
C7;0.746432;301.0;0.5
C7;0.657042;300.0;53.3
C5;0.744209;600.0;0.0
C5;0.744422;601.0;1.0
C7;0.746717;300.0;0.0
C7;0.746717;300.0;0.0
C13;0.735374;901.0;0.0
C7;0.741506;300.0;7.2
C9;0.635952;6609.0;117.3
C7;0.746717;300.0;0.0
C1;0.592683;1504.0;343.3
C7;0.746418;301.0;0.0
C4;0.699967;301.0;178.7
C1;0.658219;1203.0;2.1
C7;0.746717;300.0;0.0
C1;0.671005;1504.0;1.0
